Bathrooms,Bedrooms,Built Year,Garage Space,Kitchens,Price,Square Feet,Property Type_Condominium,Property Type_Duplex,Property Type_Manufactured Home,Property Type_Multi Family,Property Type_Retail,Property Type_Single Family Residence,Property Type_Townhouse,Property Type_Unimproved Land,Property Type_Warehouse,City_Regina,City_Saskatoon
2,3,2013,1,1,334900,1260,0,0,0,0,1,0,0,0,0,0,1
4,4,2007,2,1,549900,1614,0,0,0,0,1,0,0,0,0,0,1
3,4,1977,2,1,599900,1684,0,0,0,0,0,1,0,0,0,1,0
2,2,2016,1,1,224900,938,1,0,0,0,0,0,0,0,0,0,1
4,4,2016,2,1,1549900,2887,0,0,0,0,1,0,0,0,0,0,1
2,3,1980,3,1,199900,1109,1,0,0,0,0,0,0,0,0,0,1
1,2,1979,1,1,159900,990,1,0,0,0,0,0,0,0,0,1,0
2,2,1980,1,1,439000,1528,1,0,0,0,0,0,0,0,0,0,1
1,3,1971,1,1,114900,899,0,0,1,0,0,0,0,0,0,0,1
4,5,2022,2,1,869900,2386,0,0,0,0,1,0,0,0,0,0,1
2,3,1973,2,1,124900,1034,0,0,0,0,1,0,0,0,0,1,0
1,2,1940,1,1,179000,801,0,0,0,0,0,1,0,0,0,1,0
1,2,1921,2,1,125000,780,0,0,0,0,0,1,0,0,0,1,0
1,1,1968,1,1,150000,751,1,0,0,0,0,0,0,0,0,0,1
4,5,2023,2,3,849900,2108,0,0,0,0,1,0,0,0,0,0,1
3,4,1969,2,2,629900,2255,0,0,0,0,1,0,0,0,0,1,0
1,4,1959,2,1,259000,1055,0,0,0,0,0,1,0,0,0,1,0
1,3,1959,1,1,244900,960,0,0,0,0,0,1,0,0,0,0,1
3,4,1982,2,1,549900,2700,0,0,0,0,1,0,0,0,0,0,1
3,3,2024,2,1,544600,1624,0,0,0,0,1,0,0,0,0,1,0
4,5,2024,2,1,609900,1450,0,0,0,0,0,1,0,0,0,0,1
3,4,2011,2,2,304900,975,0,0,0,0,0,1,0,0,0,1,0
2,3,1993,2,1,254900,1116,0,0,0,0,1,0,0,0,0,1,0
1,2,1912,1,1,137500,810,0,0,0,0,0,1,0,0,0,1,0
2,2,2014,1,1,424900,1240,1,0,0,0,0,0,0,0,0,1,0
1,1,1964,2,1,99900,637,1,0,0,0,0,0,0,0,0,1,0
1,2,1967,1,1,39900,700,0,0,1,0,0,0,0,0,0,1,0
2,3,2015,2,1,359900,1206,0,0,0,0,1,0,0,0,0,0,1
3,4,1995,2,1,699000,1852,0,0,0,0,0,1,0,0,0,0,1
1,1,1927,1,1,144900,533,0,0,0,0,0,1,0,0,0,0,1
3,3,2025,2,1,494900,1657,0,0,0,0,1,0,0,0,0,0,1
1,2,1946,2,1,189900,730,0,0,0,0,0,1,0,0,0,0,1
3,3,2024,3,1,832900,2227,0,0,0,0,1,0,0,0,0,0,1
4,4,2013,2,1,1188000,2720,0,0,0,0,1,0,0,0,0,1,0
1,4,1913,1,1,409900,1431,0,0,0,0,1,0,0,0,0,1,0
4,4,2018,2,1,1390000,2276,0,0,0,0,1,0,0,0,0,0,1
4,5,1912,1,2,349900,1987,0,0,0,0,1,0,0,0,0,1,0
4,4,2006,2,1,479800,1550,0,0,0,0,1,0,0,0,0,1,0
2,3,1975,2,1,219900,1016,0,0,0,0,1,0,0,0,0,1,0
2,5,1912,2,1,269900,1820,0,0,0,0,1,0,0,0,0,1,0
3,5,2001,1,1,416000,1148,0,0,0,0,0,1,0,0,0,0,1
1,2,1984,1,1,159900,840,0,0,0,0,0,0,1,0,0,0,1
4,5,1984,1,1,759000,2780,0,0,0,0,1,0,0,0,0,0,1
1,1,1914,2,1,299999,832,0,0,0,0,0,1,0,0,0,0,1
2,3,1915,1,1,329900,921,0,0,0,0,1,0,0,0,0,0,1
3,4,1918,2,2,399000,1665,0,0,0,0,0,1,0,0,0,1,0
1,3,1958,2,1,219900,950,0,0,0,0,0,1,0,0,0,0,1
1,2,1929,1,1,154900,1008,0,0,0,0,0,1,0,0,0,1,0
4,3,2016,2,1,389900,1308,0,0,0,0,1,0,0,0,0,0,1
1,2,2001,1,1,239900,943,0,0,0,0,0,0,1,0,0,0,1
4,4,2014,2,2,525000,1733,0,0,0,0,1,0,0,0,0,1,0
3,3,2024,2,1,443900,1485,0,0,0,0,1,0,0,0,0,1,0
1,3,1970,1,1,274900,1150,0,0,0,0,0,1,0,0,0,1,0
3,3,2018,2,1,534900,1738,0,0,0,0,1,0,0,0,0,0,1
4,4,2013,2,1,839000,2234,0,0,0,0,1,0,0,0,0,1,0
4,3,2011,3,1,1150000,2206,0,0,0,0,1,0,0,0,0,1,0
4,5,1931,1,2,459900,1447,0,0,0,0,0,1,0,0,0,0,1
4,4,2011,3,1,1549900,2345,0,0,0,0,1,0,0,0,0,0,1
4,3,2021,2,1,520000,1573,0,0,0,0,1,0,0,0,0,0,1
2,5,1971,2,2,439900,2148,0,1,0,0,0,0,0,0,0,0,1
